td01,td02,td03,cov_scaled,prec_scaled,catalog_idx,td01_true
-52.59801421583341,,,[[9.42534339]],[[0.10609693]],deblcdouble653,-43.84175854716554
-56.95603583168522,-67.09327241649866,-66.56162495121305,"[[16.83701174  8.03827168 10.16182141]
 [ 8.03827168 37.59098654  3.24294761]
 [10.16182141  3.24294761 34.99513761]]","[[ 0.07977205 -0.01518108 -0.02175725]
 [-0.01518108  0.02970555  0.00165548]
 [-0.02175725  0.00165548  0.03473982]]",deblcquad134,-60.424794683249345
-25.754072252228426,,,[[25.82091145]],[[0.0387283]],deblcdouble91,-18.44509652626538
-21.098313114987832,,,[[47.52030113]],[[0.02104364]],deblcdouble23,-26.20146314430765
-16.126217470102993,,,[[1.81592501]],[[0.55068353]],deblcdouble112,-14.414340542408612
-19.724483110288297,,,[[16.05315045]],[[0.06229307]],deblcdouble125,-31.858090922889787
-23.123086111477193,,,[[4.88918339]],[[0.20453313]],deblcdouble107,-23.710338023080705
-12.812536814480072,,,[[10.90869828]],[[0.09166997]],deblcdouble89,-13.476737560601393
-17.3659619713911,,,[[21.22874763]],[[0.04710593]],deblcdouble87,-22.626643702156212
-25.947649367806022,,,[[106.52056224]],[[0.00938786]],deblcdouble52,-17.800182020122516
-16.10162041761116,,,[[3.5766296]],[[0.27959283]],deblcdouble74,-16.501557018973642
-20.06174299143581,,,[[33.60653852]],[[0.02975611]],deblcdouble104,-14.313738606554343
-30.228658881524115,,,[[44.76769543]],[[0.02233754]],deblcdouble96,-36.33384188919988
-230.38937122986349,,,[[13.39272865]],[[0.07466738]],deblcdouble37,-225.02814857108703
-73.25993173998707,-109.8756460560215,-132.90347232861026,"[[ 8.07521666  4.70945017  3.28281186]
 [ 4.70945017 29.21098874 16.16931691]
 [ 3.28281186 16.16931691 26.35936727]]","[[ 0.13717979 -0.019168   -0.00532645]
 [-0.019168    0.05451212 -0.03105153]
 [-0.00532645 -0.03105153  0.05764811]]",deblcquad281,-63.00232967440813
-39.55575636914086,,,[[13.25860463]],[[0.07542272]],deblcdouble108,-42.326170947132034
-43.7386465560551,,,[[4.93306583]],[[0.20271369]],deblcdouble25,-39.38098291384603
-20.281013616658242,,,[[75.26005421]],[[0.01328726]],deblcdouble35,-13.84309736677691
-13.772483500195513,,,[[28.35672382]],[[0.035265]],deblcdouble66,-19.57044420867644
-335.91467395710333,,,[[31.73136557]],[[0.03151456]],deblcdouble106,-332.26714634623534
-141.76546628036397,,,[[44.81402157]],[[0.02231444]],deblcdouble127,-144.27086944810688
-68.5349236031023,,,[[25.5559121]],[[0.03912989]],deblcdouble80,-60.21290133896005
-213.39017931345148,,,[[82.06177264]],[[0.01218594]],deblcdouble31,-223.28100213571116
-2.732173044057297,,,[[67.8079257]],[[0.01474754]],deblcdouble15,-13.955570608415288
-13.62610337767934,,,[[2.59210925]],[[0.38578621]],deblcdouble230,-13.142305546379468
-62.376276464192905,,,[[40.16614873]],[[0.02489659]],deblcdouble10,-73.02534067201164
-28.798379406496633,,,[[56.34709245]],[[0.01774714]],deblcdouble76,-38.87745616967862
-45.77425527511875,,,[[55.81410493]],[[0.01791662]],deblcdouble238,-53.79988537216095
-60.852665248950665,,,[[17.34589576]],[[0.05765053]],deblcdouble88,-58.3832621195233
-18.338219095367318,,,[[78.16573657]],[[0.01279333]],deblcdouble24,-9.497604322495546
-34.932258655846525,,,[[21.31719641]],[[0.04691048]],deblcdouble45,-35.09287878932731
-12.82845243205268,,,[[7.48796464]],[[0.13354764]],deblcdouble44,-10.677353427699682
-208.26867497172725,,,[[19.83877]],[[0.05040635]],deblcdouble40,-189.95905653366944
-34.80735432619128,,,[[1.02258415]],[[0.97791463]],deblcdouble103,-32.582597904289955
-31.25738965082666,,,[[116.40288121]],[[0.00859085]],deblcdouble121,-15.71092775337962
-416.4920419759227,,,[[93.19058726]],[[0.0107307]],deblcdouble114,-414.1354560944157
-36.180859385847164,,,[[55.97997079]],[[0.01786353]],deblcdouble97,-19.93919924007345
-17.29981479174367,,,[[1.26411936]],[[0.79106454]],deblcdouble77,-18.140231065885132
-8.144426768523095,-8.577440819134576,-27.979409378109796,"[[23.82040329 16.59995428 22.09197614]
 [16.59995428 39.7532542  32.26856409]
 [22.09197614 32.26856409 98.87277401]]","[[ 0.06302414 -0.02025162 -0.00747261]
 [-0.02025162  0.04072834 -0.00876729]
 [-0.00747261 -0.00876729  0.01464501]]",deblcquad175,-0.5716461778281265
-41.05912645017677,,,[[34.72470653]],[[0.02879794]],deblcdouble13,-23.735788510970902
-14.305249964709784,,,[[45.38767865]],[[0.02203241]],deblcdouble131,-13.828250698830775
-116.47085924070466,,,[[36.83134967]],[[0.02715078]],deblcdouble110,-118.99543332019242
-124.42405085368466,,,[[40.62634284]],[[0.02461457]],deblcdouble251,-125.97264236609124
-187.10103354927395,,,[[28.21103121]],[[0.03544713]],deblcdouble424,-181.1806365878519
-63.51593380233846,,,[[25.60491139]],[[0.03905501]],deblcdouble422,-59.33184029092418
-16.284707851103626,,,[[18.09044384]],[[0.0552778]],deblcdouble495,-18.242543541502776
-16.092189026165244,,,[[33.6843486]],[[0.02968738]],deblcdouble43,-13.655098691274556
-39.23033011618528,,,[[70.83232025]],[[0.01411785]],deblcdouble315,-50.8266524009091
-30.158697715895908,,,[[1.83202547]],[[0.54584394]],deblcdouble55,-29.724517773528845
-38.94962175595733,,,[[7.0928873]],[[0.14098631]],deblcdouble466,-37.59561363837879
-39.118540626393255,,,[[12.90252255]],[[0.07750422]],deblcdouble208,-33.63119955752698
-218.2209814869407,,,[[71.82016788]],[[0.01392367]],deblcdouble399,-213.14285329159463
-22.963339302148963,,,[[27.55046123]],[[0.03629703]],deblcdouble151,-17.28246106107406
-67.80771965806827,,,[[15.98240154]],[[0.06256882]],deblcdouble200,-77.74203765087546
-69.26963462512362,,,[[70.0389302]],[[0.01427777]],deblcdouble226,-77.76390477998508
-23.48967363779454,,,[[24.00229346]],[[0.04166269]],deblcdouble507,-36.17753778272327
-14.18510057162296,,,[[17.39788285]],[[0.05747826]],deblcdouble217,-12.171396053156087
-18.68452087503069,,,[[7.27023313]],[[0.13754717]],deblcdouble202,-16.231887326662978
-54.89209840393316,,,[[1.03193841]],[[0.96905008]],deblcdouble48,-57.286485456314914
-26.22442944171908,,,[[7.10750541]],[[0.14069634]],deblcdouble122,-28.1729620439793
-160.15407895383058,,,[[51.8305596]],[[0.01929364]],deblcdouble428,-163.47956152177454
-19.045426425696114,,,[[91.07109515]],[[0.01098043]],deblcdouble64,-33.61629884681092
-21.98076908180775,,,[[0.4345086]],[[2.3014504]],deblcdouble346,-23.370868591924054
-19.854210808337733,,,[[37.02492497]],[[0.02700883]],deblcdouble218,-26.405823775489388
-24.69117849431945,,,[[33.94614416]],[[0.02945843]],deblcdouble349,-24.492592394594332
-219.95169763219155,,,[[60.77647047]],[[0.01645374]],deblcdouble201,-234.3185831509518
-76.53750385495749,,,[[32.29032804]],[[0.03096903]],deblcdouble67,-69.69310770969388
-5.791314959419388,-5.280088254344135,-28.242580774985417,"[[ 8.22256087  3.90377579  4.92769675]
 [ 3.90377579 20.21450805  6.21776148]
 [ 4.92769675  6.21776148 34.01196026]]","[[ 0.14212715 -0.02237147 -0.01650181]
 [-0.02237147  0.05593823 -0.00698492]
 [-0.01650181 -0.00698492  0.03306915]]",deblcquad433,-3.775180252560712
-24.167160534172304,,,[[39.20038494]],[[0.02550995]],deblcdouble172,-15.89214057914475
-6.272470483235217,,,[[43.28308388]],[[0.02310371]],deblcdouble75,-14.732773041227572
-31.405055036628955,,,[[9.02201339]],[[0.11084]],deblcdouble236,-32.780915365984704
-16.045561621643174,,,[[0.34173013]],[[2.92628571]],deblcdouble214,-16.55475047271517
-67.69299168487166,,,[[33.29635957]],[[0.03003331]],deblcdouble366,-49.934840207297135
-20.381475354020953,,,[[20.21871425]],[[0.04945913]],deblcdouble229,-17.0341560159691
-19.726924064567868,,,[[7.72119094]],[[0.1295137]],deblcdouble8,-12.117635704856836
-43.60273104515459,-54.09385486364133,-71.86968750709298,"[[ 5.3202348   3.93874171  3.61698747]
 [ 3.93874171  5.9062593   4.01657024]
 [ 3.61698747  4.01657024 11.97566817]]","[[ 0.38486452 -0.23008722 -0.03906994]
 [-0.23008722  0.35689558 -0.05020794]
 [-0.03906994 -0.05020794  0.11214232]]",deblcquad153,-42.64430680410268
-37.829251307574985,,,[[4.37264586]],[[0.22869449]],deblcdouble93,-34.73823389770449
-22.766757952479946,,,[[18.600407]],[[0.05376226]],deblcdouble62,-12.28632867459542
-30.919931187360966,,,[[1.21354304]],[[0.8240334]],deblcdouble232,-30.58948587111353
-83.2502046593542,,,[[25.95829085]],[[0.03852334]],deblcdouble459,-77.66949934066552
-105.48177045537211,,,[[63.05778242]],[[0.01585847]],deblcdouble401,-111.21331528073556
-80.99961269386097,,,[[3.10044887]],[[0.32253394]],deblcdouble2,-84.44626564104115
-30.724941679915396,,,[[13.44200363]],[[0.07439367]],deblcdouble3,-39.06741242785736
-84.99950685408423,,,[[14.53872932]],[[0.0687818]],deblcdouble302,-77.70064958370595
-79.72287957329387,,,[[11.8734361]],[[0.08422162]],deblcdouble212,-86.64054524983524
-19.29152373134815,,,[[6.55094178]],[[0.15264981]],deblcdouble240,-20.178936266086808
-57.74426312738086,,,[[24.15704475]],[[0.04139579]],deblcdouble68,-51.581271737371374
-192.11703004363858,,,[[14.79546711]],[[0.06758827]],deblcdouble120,-190.96310518834844
-159.08260080677977,,,[[55.46659196]],[[0.01802887]],deblcdouble215,-159.03497765239698
-130.1160792946829,,,[[64.31937296]],[[0.01554742]],deblcdouble179,-143.6000155291236
-1.8270159493996132,-0.06366301933358592,-28.645327827107774,"[[ 8.58171103  4.76170393  5.34067433]
 [ 4.76170393  9.43788325  4.96687056]
 [ 5.34067433  4.96687056 28.67463583]]","[[ 0.17033053 -0.07618652 -0.01852757]
 [-0.07618652  0.15066063 -0.01190684]
 [-0.01852757 -0.01190684  0.04038724]]",deblcquad420,-4.875156087054033
-21.05438864785458,,,[[18.11674401]],[[0.05519756]],deblcdouble286,-20.27722913446824
-65.80548410922559,,,[[3.07745954]],[[0.32494335]],deblcdouble34,-70.07157380415515
-1532.8169044442375,,,[[63.51507994]],[[0.01574429]],deblcdouble493,-1530.280443171364
-59.77379802839466,,,[[22.10587925]],[[0.04523683]],deblcdouble57,-43.38890586105408
-43.843632760817705,,,[[59.94911219]],[[0.01668081]],deblcdouble427,-35.57056640006271
-163.55481826391673,,,[[10.41858984]],[[0.09598228]],deblcdouble320,-156.6462757145237
-24.66573858489839,,,[[19.52655918]],[[0.0512123]],deblcdouble258,-32.87119021459568
-40.06379456923414,,,[[0.77940414]],[[1.28303142]],deblcdouble210,-18.910028258293003
-23.855888268711784,,,[[18.19049485]],[[0.05497377]],deblcdouble239,-16.142678052351844
-87.23576570517838,,,[[16.58962224]],[[0.06027865]],deblcdouble233,-82.10035020881699
-39.576030636021386,,,[[10.57477091]],[[0.0945647]],deblcdouble173,-42.28781205065203
-154.42589539134616,,,[[27.37396726]],[[0.03653106]],deblcdouble336,-143.85861005486012
-0.3629101433100565,0.3480477662512334,-4.195450481323542,"[[1.07038142 0.60494838 0.61073526]
 [0.60494838 1.77456043 0.65089056]
 [0.61073526 0.65089056 3.03517813]]","[[ 1.23443844 -0.35786133 -0.17164941]
 [-0.35786133  0.71537246 -0.08140235]
 [-0.17164941 -0.08140235  0.38146571]]",deblcquad296,-0.6645996804043618
-2.4608804162718485,-6.322510004077066,19.921781208288017,"[[ 9.35519513  6.00644238  6.2940823 ]
 [ 6.00644238 13.16275033  7.3119517 ]
 [ 6.2940823   7.3119517  41.32947872]]","[[ 0.15674894 -0.06461782 -0.01243927]
 [-0.06461782  0.11089007 -0.00977784]
 [-0.01243927 -0.00977784  0.02782007]]",deblcquad612,-6.303275486208375
-11.51970868790876,,,[[38.28682394]],[[0.02611865]],deblcdouble549,-9.096975765255438
-6.3452387519263285,-6.371123792416937,-12.836721073973166,"[[4.33376446 1.81989486 1.94754898]
 [1.81989486 4.06287093 1.52251079]
 [1.94754898 1.52251079 4.50233626]]","[[ 0.32141807 -0.1052042  -0.10345804]
 [-0.1052042   0.31628213 -0.06144646]
 [-0.10345804 -0.06144646  0.28763789]]",deblcquad27,-0.56789373279257
-2.1432543132793827,-2.1687827278202487,-4.747784349453564,"[[1.62686865 0.76882542 0.79865022]
 [0.76882542 7.25162215 0.66092982]
 [0.79865022 0.66092982 3.91921374]]","[[ 0.71032776 -0.06308663 -0.13411047]
 [-0.06308663  0.14565574 -0.01170747]
 [-0.13411047 -0.01170747  0.28445633]]",deblcquad508,-1.519182980644992
0.30827971633674406,,,[[0.76473502]],[[1.30764248]],deblcdouble506,-0.4573638934809207
23.3673748462507,-0.02124415836392699,-8.37293893562322,"[[11.3741782   3.73820342  3.80878522]
 [ 3.73820342  3.83527012  2.17106844]
 [ 3.80878522  2.17106844  5.25891573]]","[[ 0.14245776 -0.10498051 -0.05983575]
 [-0.10498051  0.41761725 -0.09637489]
 [-0.05983575 -0.09637489  0.27327649]]",deblcquad41,-0.0708968132285977
-6.93695056129773,,,[[1.38458137]],[[0.72223996]],deblcdouble465,-4.912996184310753
-17.590631727878097,,,[[26.17116078]],[[0.03821]],deblcdouble467,-11.150358224908672
-1.7791851132602117,5.759316035891746,-6.919086164265644,"[[ 7.42435605  4.30691144  3.96142804]
 [ 4.30691144  8.69841792  4.36659502]
 [ 3.96142804  4.36659502 11.02994651]]","[[ 0.20302505 -0.07977514 -0.04133505]
 [-0.07977514  0.17482348 -0.04055866]
 [-0.04133505 -0.04055866  0.12156442]]",deblcquad169,-0.568979484485674
-14.31364278760189,,,[[6.43482032]],[[0.15540449]],deblcdouble483,-7.993871995261717
-14.090245365045847,,,[[12.1168067]],[[0.08253]],deblcdouble451,-7.562533794453509
2.5252467557277147,,,[[19.77756187]],[[0.05056235]],deblcdouble499,-0.8228620514593745
-12.082328628411108,,,[[3.21382202]],[[0.311156]],deblcdouble496,-10.22775035260106
-12.717964964888461,,,[[7.30694351]],[[0.13685613]],deblcdouble445,-5.180609430573969
-17.806975838614132,,,[[15.06206397]],[[0.06639196]],deblcdouble553,-9.3107755941177
-10.959602778218974,,,[[44.03941241]],[[0.02270693]],deblcdouble469,-4.6536548679575915
-0.8333027567016927,-2.227828296254127,-7.568014133035809,"[[3.75882179 1.6956197  1.92131189]
 [1.6956197  5.73603805 1.76384817]
 [1.92131189 1.76384817 8.31932299]]","[[ 0.33271338 -0.0799362  -0.05989079]
 [-0.0799362   0.20570025 -0.02515128]
 [-0.05989079 -0.02515128  0.13936614]]",deblcquad285,-1.6740401131113738
-17.60529409107311,,,[[32.30994079]],[[0.03095023]],deblcdouble442,-9.558087866731247
